workload,kvp,ma_min_per_patient
Rad Room (all barriers),120.0,0.0699
Rad Room (chest bucky),120.0,0.0512
Rad Room (floor or other barriers),120.0,0.0187
Fluoroscopy Tube (R&F room),120.0,0.937
Rad Tube (R&F room),120.0,0.104
Chest Room,120.0,0.0474
Mammography Room,120.0,0
Cardiac Angiography,120.0,3.35
Peripheral Angiography,120.0,0
Rad Room (all barriers),125.0,0.0484
Rad Room (chest bucky),125.0,0.0481
Rad Room (floor or other barriers),125.0,0.000347
Fluoroscopy Tube (R&F room),125.0,0.138
Rad Tube (R&F room),125.0,0.0813
Chest Room,125.0,0
Mammography Room,125.0,0
Cardiac Angiography,125.0,2.75
Peripheral Angiography,125.0,0
Rad Room (all barriers),130.0,0.00184
Rad Room (chest bucky),130.0,0.00171
Rad Room (floor or other barriers),130.0,0.000125
Fluoroscopy Tube (R&F room),130.0,0.153
Rad Tube (R&F room),130.0,0.0446
Chest Room,130.0,0
Mammography Room,130.0,0
Cardiac Angiography,130.0,0.031
Peripheral Angiography,130.0,0
Rad Room (all barriers),135.0,0.00773
Rad Room (chest bucky),135.0,0.00773
Rad Room (floor or other barriers),135.0,0
Fluoroscopy Tube (R&F room),135.0,0.146
Rad Tube (R&F room),135.0,0.00947
Chest Room,135.0,0
Mammography Room,135.0,0
Cardiac Angiography,135.0,0
Peripheral Angiography,135.0,0
Rad Room (all barriers),140.0,0
Rad Room (chest bucky),140.0,0
Rad Room (floor or other barriers),140.0,0
Fluoroscopy Tube (R&F room),140.0,0.0192
Rad Tube (R&F room),140.0,0.00426
Chest Room,140.0,0
Mammography Room,140.0,0
Cardiac Angiography,140.0,0
Peripheral Angiography,140.0,0
